pitcher_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
471911,1348,-0.011037348385500615,-0.005284071398595079,-0.006945733503629367,-0.004091614881871246,0.684079113505484,-0.01925746671936596,-0.003721287636979304,-0.0977350181177458
608678,365,-0.010036860634987486,-0.006104591765977429,-0.0068769121884512405,-0.003159948446536245,0.6260626331200958,-0.021848643141829927,-0.004968564641244692,-0.0771374748337603
686839,172,-0.010735354780263495,-0.006122926054201968,-0.006835744616453354,-0.003899610163810142,0.712025742592045,-0.0181506700941486,-0.002312811405502094,-0.09330277675386084
693821,1910,-0.011504023661760223,-0.005701804517877901,-0.006817378879112262,-0.0046866447826479606,0.6493437400586176,-0.020772982214985653,-0.0037887614938886503,-0.09203096188661483
450203,2743,-0.011344124928407756,-0.0048332656291854865,-0.006737006572554831,-0.004607118355852925,0.697978615043778,-0.02008522032033191,-0.003438027817544354,-0.09202976869163253
620454,235,-0.00964628127794372,-0.005377261749401229,-0.006707657490509698,-0.0029386237874340234,0.683592887650657,-0.015725564909192257,-0.000970799165766655,-0.0994114641566916
678692,655,-0.008630123536745917,-0.00568722833267201,-0.006679318673274407,-0.0019508048634715104,0.6343426602933911,-0.018954959216174606,-0.0029312237188352415,-0.08849490942275859
628452,1129,-0.011799570624464729,-0.0054082872805307795,-0.006635445341221335,-0.005164125283243392,0.6000495895457159,-0.017530202545290804,-0.0021578210519873553,-0.09553337639785356
592426,918,-0.008561264434685502,-0.005100852846222655,-0.006609710304472412,-0.0019515541302130889,0.6997133361248739,-0.017592518387396196,-0.004161457835127152,-0.09146041122939914
687830,378,-0.009968977876811766,-0.005451696651218195,-0.006608248379584371,-0.003360729497227394,0.6865740744831027,-0.014458948428434449,-0.00228021699720912,-0.10511846210951545
669199,560,-0.004588141819112543,-0.005606510155251762,-0.006594660275893392,0.0020065184567808485,0.5970780572292239,-0.010954297508006835,-0.002545353499540102,-0.09009615951819716
664141,203,-0.010934616276377752,-0.005263570648472628,-0.006553392729035938,-0.004381223547341814,0.6750490042681585,-0.022516275836327218,-0.0032131059076416705,-0.08538334182590966
685126,581,-0.0103254659280956,-0.005348626307276871,-0.00654198869915842,-0.0037834772289371795,0.6733781903802827,-0.022013205395835216,-0.0058636134372207546,-0.07834010574551659
672860,163,-0.011191286059758698,-0.0051072719000282004,-0.006494966590709757,-0.004696319469048941,0.6472666163755408,-0.02107404712024245,-0.0021294715268422087,-0.08543319399341957
500779,2473,-0.007065381154251974,-0.005837564411084121,-0.006469784222526226,-0.0005955969317257487,0.6424400031646286,-0.01805348170722354,-0.0036934405097729006,-0.08364303054701828
621366,522,-0.010576324290818328,-0.005011826504693064,-0.006414637601048568,-0.00416168668976976,0.6422591201176909,-0.015969120188887645,-0.003408059910979293,-0.10373759691350407
683409,741,-0.010258163719041142,-0.0054893708465611115,-0.0063816322033672015,-0.0038765315156739396,0.6398528553979148,-0.018798158521841368,-0.0033564543832985978,-0.09325156133741777
605200,215,-0.011158516518674383,-0.005138394437985944,-0.0063497255711874555,-0.004808790947486929,0.6474906273473544,-0.016532795163534994,-0.0011224560871379778,-0.10024728581967349
656756,1403,-0.008145105137981811,-0.0056451548667307725,-0.0063350345730129294,-0.001810070564968883,0.6385921209394083,-0.018668592875971675,-0.004003882919129085,-0.08631517224393473
623211,977,-0.009409991414690523,-0.005327805244674242,-0.00628706494831568,-0.0031229264663748422,0.6342291549688976,-0.018061307706387447,-0.0018967205290906133,-0.09041897158582361
656786,142,-0.009066340527086224,-0.005297192573482374,-0.006285027969807514,-0.0027813125572787112,0.6459617118488937,-0.017459317979752025,-0.003500975650932245,-0.0995624035534361
669169,111,-0.008543964653761706,-0.0050835146133174705,-0.006278367471452385,-0.0022655971823093207,0.6773604576356457,-0.016181541763022063,-0.0030284263095459066,-0.10784270847711404
656849,2449,-0.010785223454075399,-0.004890761415824627,-0.006241161777398527,-0.00454406167667687,0.6483363028291266,-0.019994771602121375,-0.0035825923874535422,-0.0887692646461226
592332,3338,-0.014831416594343609,-0.005364628689951216,-0.0062261079075144705,-0.008605308686829138,0.5506333629626712,-0.021539930499767643,-0.0020454461922765686,-0.09551870846896883
687931,174,-0.012741897858351272,-0.004484149032427868,-0.006058150026830005,-0.006683747831521267,0.6526299035023202,-0.02585758492631831,-0.0030558702191869815,-0.08695894934493772
682175,115,-0.008650136585260381,-0.0027193893372203974,-0.0060047566130224895,-0.0026453799722378915,0.6804557601838838,-0.01203662865234012,-0.0019945750264568195,-0.1115915918274488
694738,1080,-0.010792014756250478,-0.004094910561402997,-0.00598642025699203,-0.004805594499258449,0.7434657923701192,-0.01791780846853641,-0.0028483978406185764,-0.09301590425293664
679156,140,-0.015039191041379197,-0.004879896008592017,-0.0059692251415513755,-0.009069965899827821,0.6212004971053372,-0.021042339180476245,-0.0023829288361409467,-0.10561677267175902
657585,933,-0.008077380746473831,-0.0048970622689380496,-0.005957192313542082,-0.0021201884329317485,0.6693215355194657,-0.020399206232574678,-0.0033182161976285257,-0.07891263200855902
669276,994,-0.007877276001465715,-0.005102365318737283,-0.005956436853636163,-0.0019208391478295523,0.5690423640013023,-0.015490752360991017,-0.0026675614099778773,-0.09279100368639619
