batter_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
683083,278,-0.0010818979059303152,0.0032256639733878774,0.0018716542839100109,-0.002953552189840326,0.6045824689764214,-0.012885624715181012,-0.0023070963429622933,-0.08704592341394968
605170,1253,-0.011073813675103766,0.0040282527723806355,0.0018830154826311636,-0.012956829157734929,0.49198119593124084,-0.021847693561877112,-0.003292297248966935,-0.08621233348711022
691783,169,0.005703415403990935,0.001693509589496334,0.0018930462677327667,0.0038103691362581685,0.5071743544922805,-0.005324736216491189,-0.002102052786869082,-0.08790193120360112
694388,686,-0.013248883666935055,0.0027839240345531226,0.0019117507845502232,-0.01516063445148528,0.4585568387509699,-0.024087870129860085,-0.004556664681528337,-0.07882653937386534
695578,1602,-0.014001525511312661,0.0036910286722113784,0.0019198674838306882,-0.01592139299514335,0.4918683278316809,-0.02249795731205149,-0.004035454608153657,-0.0850866537643195
673548,2437,-0.004560047864273838,0.0037439026607149636,0.0019263695142493745,-0.006486417378523212,0.6923210020331518,-0.017122201181177736,-0.002544447138232308,-0.08297844729488955
678009,1080,-0.002973945280241423,0.003712512449173807,0.00193344123691082,-0.004907386517152243,0.6138543757130148,-0.013917367202832362,-0.003184045062415008,-0.0832586279237461
691594,573,-0.0030256833733640943,0.002327258235865931,0.0019370700591089785,-0.004962753432473072,0.5247171588179532,-0.010625174505175116,-0.001438197829197529,-0.08310885188105374
663584,128,-0.0034329092518188744,0.0019087421190285966,0.0019409150091405784,-0.005373824260959453,0.6509977981855154,-0.011621517986040025,0.0019119893142196434,-0.07625973859022386
663656,1966,-0.003718244745043799,0.004640055882605381,0.0019419434088481706,-0.0056601881538919695,0.6070222800688273,-0.01115400695911814,-0.003712470557521372,-0.1019004896988262
642020,159,-0.0025122422622515473,0.0022821137158252135,0.0019497373232084565,-0.004461979585460004,0.6249598050238612,-0.014997827680899061,-0.004460897213315596,-0.07220457508892379
660644,697,-0.004961199142861477,0.004150273381465223,0.0019501965138814048,-0.006911395656742882,0.5870525475290721,-0.014806747725473822,-0.00332333404210137,-0.08660550049584305
686676,1009,-0.004275400578051445,0.0026347023652007833,0.0019789446077616087,-0.006254345185813054,0.6374580691080367,-0.01235071258847793,-0.00411308000859549,-0.08401257146866738
642136,851,0.0011618300758195555,0.002519273895718604,0.0019814567548111007,-0.0008196266789915452,0.6500239692820875,-0.0052517217258810115,-0.004998724807452552,-0.0975003913593654
686554,213,0.001484272663047708,0.002534805197949668,0.0020031975620774137,-0.0005189248990297061,0.5784838935020316,-0.010477841654926576,-0.004118712347557726,-0.09370132900448642
666126,164,0.004608146096173025,0.002587993539674565,0.0020244610589990816,0.0025836850371739432,0.5212812023596336,-0.008333044220036905,-0.002440944023620218,-0.08929896412447334
650559,1750,-0.006632831918374677,0.003369629662070593,0.002026846821481649,-0.008659678739856324,0.5278126909882658,-0.016815342123820475,-0.003048241704451778,-0.07921836368369449
592663,2131,-0.0021244216962861373,0.0026323386755388754,0.002043540999973247,-0.004167962696259384,0.608438662102296,-0.011763339265912283,-0.0025811303147968124,-0.0811097579377247
677347,419,-0.019547206027977992,0.0038905771033228365,0.0020463004055925374,-0.021593506433570532,0.3884422471788368,-0.026733303257555095,-0.003384389405309164,-0.08559901352554763
543063,364,0.002971592429117555,0.002296804040815159,0.0020473968120120053,0.0009241956171055498,0.618325051572365,-0.0063824529620591305,-0.0022946661165546135,-0.08661099058316088
657077,1594,-0.004802812844142916,0.003890276119204771,0.0020566096409899703,-0.0068594224851328866,0.6301415782355422,-0.013949423108243247,-0.002399928259470405,-0.08341995520519327
660271,2834,-0.005569668086508203,0.003919549988842347,0.0020740216233774153,-0.0076436897098856186,0.5561941304450849,-0.01844032215232234,-0.004788090548011927,-0.07340142876822718
594777,307,0.0022014748622538305,0.001707919079283711,0.002092258767569766,0.00010921609468406413,0.4820548412820781,-0.010140086239531693,-0.0009589248754008655,-0.08020968219995558
679529,2351,-0.005255185859288577,0.0041997335426606,0.002109608950812019,-0.007364794810100595,0.586291164907568,-0.013560026362206556,-0.0030133421883404778,-0.09330853441413064
682617,193,0.002676495224959433,0.0019648147171684167,0.0021163981360878964,0.0005600970888715364,0.7147561294709681,-0.0024248767474990664,-0.00369213837039029,-0.10418056923983669
676694,1468,0.0012362624951665988,0.003358371110066602,0.0021454400752212873,-0.0009091775800546881,0.6104730429256439,-0.008419696268610303,-0.002817429242598582,-0.08346626811121435
571657,1176,0.006064594365562374,0.002385007091408268,0.002159981744857137,0.0039046126207052377,0.631084571061044,-0.0026409406292831968,-0.0019084897535621816,-0.08233858882969762
642137,83,-0.013532051485139007,0.0033298012658408084,0.0021653060536419304,-0.01569735753878094,0.4629568391229008,-0.02672103525303432,-0.004959802084130129,-0.0667509587583461
621043,1928,-0.0068519791964594635,0.00425940529665247,0.0021804926398017615,-0.009032471836261225,0.5681547323138624,-0.01745701522317267,-0.003327110835275552,-0.08067554570901046
680869,1705,0.005575605146366316,0.002390290850564073,0.002184832042654076,0.0033907731037122395,0.60211314454035,-0.001407363959141002,-0.0039042527590439045,-0.09107362927621673
573262,1985,0.009229669706137556,0.0020688582857462767,0.002194805345608084,0.007034864360529473,0.5926123533812032,-0.0001984078462430112,-0.002703004854749024,-0.0876474719719034
671083,141,-0.011749117088862133,0.003463209500682364,0.0022056488389706596,-0.013954765927832792,0.45678098244579346,-0.02294259142874529,-0.0026086623688461085,-0.08750983528008958
682641,873,-0.005254487984566725,0.00287281666608033,0.0022093660532396067,-0.007463854037806332,0.4929086899060224,-0.016401884505945426,-0.0016202879981418105,-0.07252598318114406
605137,2475,-0.007316157314891578,0.004070506711820702,0.002212482524800286,-0.009528639839691863,0.5429460683638074,-0.017659796012958834,-0.004051517773197064,-0.07774299409650824
663527,549,0.0011459527097392452,0.0025305721813799666,0.0022367390383517703,-0.0010907863286125253,0.6897503928423301,-0.005055891792823583,-0.0026926859558372594,-0.0913621948580139
670092,124,0.00826978019460125,0.001987954135264166,0.0022618287853566586,0.006007951409244592,0.57729203148328,-0.0020534980041278486,-0.004215811703172303,-0.0893411261216535
687637,209,-0.020505815331721005,0.004404742671728296,0.0022670836982125408,-0.022772899029933548,0.38345547199028,-0.029171137289583097,-0.0029232435991151085,-0.08598712196687362
695257,118,0.013818760313886827,0.0019408410270197179,0.0022727049105518704,0.011546055403334955,0.5144098081381584,-1.2759705042938361e-05,-0.002321752491750349,-0.06495928884217869
683002,2917,-0.0075166470666759595,0.003976260715175215,0.0022817940970820795,-0.00979844116375804,0.5761544348355327,-0.016880700219231607,-0.0034752016963939614,-0.08285793266385283
543592,74,-0.008430124889911936,0.0028238397562905205,0.00229676493378813,-0.010726889823700065,0.6354250636446069,-0.016366653695032284,-0.0031139579918365275,-0.08344906723779602
701762,782,-0.005866996634066134,0.00387912895013639,0.0023016010394368053,-0.008168597673502939,0.5561008334593707,-0.014563476512034986,-0.004085594580432375,-0.08288024517472793
623205,81,0.00647853860974192,0.0032173916798372126,0.0023053859210226614,0.004173152688719257,0.648570493219074,-0.0014885737495514925,-0.0020958672666984684,-0.08838748825839983
656775,2124,0.008847139657232876,0.002037496972627638,0.0023338752036078402,0.0065132644536250355,0.5891085698928926,-0.00015528042117888812,-0.0028472794229414755,-0.09063395417077295
690022,368,-0.001690708571152042,0.0029804570455639052,0.0023624454484398793,-0.004053154019591922,0.5702380883430361,-0.007950110755446918,-0.0031644783171564197,-0.08375692650820525
672279,587,-0.0011942225568267136,0.0027360206272855564,0.0023790618850228233,-0.003573284441849537,0.6570030108020095,-0.009253357459283828,-0.0024266466468014962,-0.08759463179042867
805779,918,-0.01211692897692066,0.004018503316165875,0.0023831626920357784,-0.014500091668956439,0.48664310386091086,-0.020255706162804022,-0.001530003865746575,-0.08586225440134242
606192,2781,-0.0008613083694766951,0.003760029144090138,0.002387694361759761,-0.003249002731236456,0.6770212377600053,-0.009488125842867474,-0.0038726958155066585,-0.08259631172953237
676914,1321,0.011082343754286943,0.002357651281365868,0.0024093965649911392,0.008672947189295803,0.512282792018673,-0.0009198937280619464,-0.0032058974081668693,-0.08686247197927724
678489,172,0.011660512204427207,0.0023247616437165153,0.002410711876305488,0.00924980032812172,0.5823039178858005,-0.00489498542990926,-0.0013469476985377166,-0.06834091062401705
624585,1861,0.0007622459955098964,0.004519727952800361,0.0024314627015856113,-0.001669216706075715,0.6357912843691638,-0.01112851449700962,-0.003595812586199922,-0.07774919172891398
683770,134,-0.004375145639483275,0.0031789914727551635,0.0024335137622657132,-0.006808659401748989,0.6208685017866358,-0.013493972178847681,-0.004171412682641001,-0.0734306576499943
664702,770,-0.010802501940023995,0.0031772728197876875,0.0024391633344990663,-0.01324166527452306,0.5448414768890941,-0.019460273561952894,-0.0019326815542828034,-0.08967930445671655
