"pitcher_id","pitcher_full_name","pitch_type","Pitches","xRV_Residual","Distortion","Selection","pitch_label"
678226,"Daysbel Hernández","FF",204,-0.006,0,-0.006,"Four-Seam FB"
678394,"Brayan Bello","SI",1022,-0.006,-0.001,-0.005,"Sinker"
678821,"Luis Peralta","FF",196,-0.006,0,-0.005,"Four-Seam FB"
680885,"Spencer Schwellenbach","FF",535,-0.006,0,-0.006,"Four-Seam FB"
681982,"Grant Anderson","SI",194,-0.006,-0.001,-0.005,"Sinker"
682847,"Luis L. Ortiz","SI",438,-0.006,-0.001,-0.005,"Sinker"
686294,"Amos Willingham","FF",104,-0.006,0,-0.006,"Four-Seam FB"
686613,"Hunter Brown","SI",557,-0.006,0,-0.006,"Sinker"
687792,"DJ Herz","FF",405,-0.006,0,-0.006,"Four-Seam FB"
690990,"Cade Horton","FF",406,-0.006,0,-0.006,"Four-Seam FB"
694335,"Matt Svanson","SI",196,-0.006,0,-0.006,"Sinker"
694738,"Landen Roupp","SI",359,-0.006,-0.001,-0.005,"Sinker"
694813,"Gavin Stone","SI",264,-0.006,0,-0.006,"Sinker"
702352,"Spencer Bivens","SI",349,-0.006,0,-0.006,"Sinker"
808967,"Yoshinobu Yamamoto","SI",121,-0.006,0,-0.006,"Sinker"
450203,"Charlie Morton","SI",284,-0.005,-0.001,-0.005,"Sinker"
455119,"Chris Martin","FC",322,-0.005,0,-0.005,"Cutter"
455119,"Chris Martin","FF",259,-0.005,0,-0.005,"Four-Seam FB"
506433,"Yu Darvish","SI",237,-0.005,0,-0.005,"Sinker"
519242,"Chris Sale","FF",956,-0.005,0,-0.005,"Four-Seam FB"
544150,"Albert Suárez","FF",588,-0.005,0,-0.005,"Four-Seam FB"
547973,"Aroldis Chapman","SI",405,-0.005,0,-0.005,"Sinker"
554430,"Zack Wheeler","FF",1432,-0.005,0,-0.005,"Four-Seam FB"
554430,"Zack Wheeler","SI",598,-0.005,0,-0.005,"Sinker"
572143,"Burch Smith","FF",211,-0.005,0,-0.005,"Four-Seam FB"
579328,"Yusei Kikuchi","FF",1347,-0.005,0,-0.005,"Four-Seam FB"
593958,"Eduardo Rodriguez","FF",947,-0.005,0,-0.005,"Four-Seam FB"
605288,"Adrian Houser","SI",808,-0.005,0,-0.005,"Sinker"
605452,"Joe Ross","FF",241,-0.005,0,-0.005,"Four-Seam FB"
607067,"Colin Rea","FF",820,-0.005,0,-0.004,"Four-Seam FB"
607067,"Colin Rea","SI",562,-0.005,0,-0.004,"Sinker"
607192,"Tyler Glasnow","SI",166,-0.005,0,-0.005,"Sinker"
607200,"Erick Fedde","SI",655,-0.005,0,-0.005,"Sinker"
608331,"Max Fried","FF",710,-0.005,0,-0.005,"Four-Seam FB"
608331,"Max Fried","SI",500,-0.005,0,-0.004,"Sinker"
608379,"Michael Wacha","FF",667,-0.005,0,-0.005,"Four-Seam FB"
608566,"Germán Márquez","FF",345,-0.005,0,-0.004,"Four-Seam FB"
608718,"Brent Suter","SI",215,-0.005,0,-0.005,"Sinker"
615698,"Cal Quantrill","SI",441,-0.005,0,-0.005,"Sinker"
621112,"Paul Blackburn","SI",249,-0.005,0,-0.005,"Sinker"
621242,"Edwin Díaz","FF",423,-0.005,0,-0.005,"Four-Seam FB"
621366,"Ryan Borucki","SI",102,-0.005,0,-0.004,"Sinker"
621383,"Tanner Banks","FF",364,-0.005,0,-0.005,"Four-Seam FB"
621389,"Ty Blach","SI",506,-0.005,0,-0.005,"Sinker"
622663,"Luis Severino","FF",1084,-0.005,0,-0.005,"Four-Seam FB"
623167,"Chris Flexen","CU",192,-0.005,-0.002,-0.003,"Curveball"
623465,"Evan Phillips","FF",177,-0.005,0,-0.005,"Four-Seam FB"
640448,"Kyle Finnegan","FF",728,-0.005,0,-0.005,"Four-Seam FB"
640455,"Sean Manaea","SI",584,-0.005,-0.001,-0.004,"Sinker"
640462,"A.J. Puk","FF",415,-0.005,0,-0.005,"Four-Seam FB"
641154,"Pablo López","FF",1082,-0.005,0,-0.005,"Four-Seam FB"
641154,"Pablo López","SI",222,-0.005,0,-0.005,"Sinker"
641401,"Connor Brogdon","FF",158,-0.005,0,-0.005,"Four-Seam FB"
641745,"Brad Keller","FF",334,-0.005,0,-0.005,"Four-Seam FB"
642232,"Ryan Yarbrough","FF",260,-0.005,0,-0.004,"Four-Seam FB"
642397,"Gregory Soto","FF",106,-0.005,0,-0.005,"Four-Seam FB"
642547,"Freddy Peralta","FF",1742,-0.005,0,-0.005,"Four-Seam FB"
